ICD-10 113 Cause List,ICD-10 113 Cause List Code,State,State Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
Septicemia,GR113-010,Alabama,1,Female,F,< 1 year,1,55,556579,9.9
Septicemia,GR113-010,Alabama,1,Female,F,15-24 years,15-24,37,6214696,0.6
Septicemia,GR113-010,Alabama,1,Female,F,25-34 years,25-34,108,5846272,1.8
Septicemia,GR113-010,Alabama,1,Female,F,35-44 years,35-44,282,6158050,4.6
Septicemia,GR113-010,Alabama,1,Female,F,45-54 years,45-54,642,6385531,10.1
Septicemia,GR113-010,Alabama,1,Female,F,55-64 years,55-64,1212,5414228,22.4
Septicemia,GR113-010,Alabama,1,Female,F,65-74 years,65-74,1827,3832617,47.7
Septicemia,GR113-010,Alabama,1,Female,F,75-84 years,75-84,2559,2418788,105.8
Septicemia,GR113-010,Alabama,1,Female,F,85+ years,85+,2469,990988,249.1
Septicemia,GR113-010,Alabama,1,Male,M,< 1 year,1,78,578007,13.5
Septicemia,GR113-010,Alabama,1,Male,M,1-4 years,4-Jan,14,2308450,0
Septicemia,GR113-010,Alabama,1,Male,M,5-14 years,14-May,12,6065966,0
Septicemia,GR113-010,Alabama,1,Male,M,15-24 years,15-24,44,6327206,0.7
Septicemia,GR113-010,Alabama,1,Male,M,25-34 years,25-34,90,5678498,1.6
Septicemia,GR113-010,Alabama,1,Male,M,35-44 years,35-44,267,5882549,4.5
Septicemia,GR113-010,Alabama,1,Male,M,45-54 years,45-54,686,6037822,11.4
Septicemia,GR113-010,Alabama,1,Male,M,55-64 years,55-64,1275,4935101,25.8
Septicemia,GR113-010,Alabama,1,Male,M,65-74 years,65-74,1764,3207791,55
Septicemia,GR113-010,Alabama,1,Male,M,75-84 years,75-84,1981,1609834,123.1
Septicemia,GR113-010,Alabama,1,Male,M,85+ years,85+,1187,420645,282.2
Septicemia,GR113-010,Alaska,2,Female,F,25-34 years,25-34,11,907303,0
Septicemia,GR113-010,Alaska,2,Female,F,35-44 years,35-44,14,907065,0
Septicemia,GR113-010,Alaska,2,Female,F,45-54 years,45-54,34,938891,3.6
Septicemia,GR113-010,Alaska,2,Female,F,55-64 years,55-64,42,668087,6.3
Septicemia,GR113-010,Alaska,2,Female,F,65-74 years,65-74,60,317573,18.9
Septicemia,GR113-010,Alaska,2,Female,F,75-84 years,75-84,58,148982,38.9
Septicemia,GR113-010,Alaska,2,Female,F,85+ years,85+,64,54048,118.4
Septicemia,GR113-010,Alaska,2,Male,M,35-44 years,35-44,14,965241,0
